cell,trigger,combo,is_active,total,scalp_pre,dca_fires,dca_wins,dca_knife,no_opp,fire_rate_pct,win_rate_pct,dca_ev_per_fire_c,cell_roi_delta_pct
ATP_CHALL_leader_50-54,3,A,True,901,47,88,61,27,766,9.8,69.3,-65.1,-1.22
ATP_CHALL_leader_50-54,3,B,True,901,47,88,61,27,766,9.8,69.3,-75.5,-1.42
ATP_CHALL_leader_50-54,5,A,True,901,59,72,49,23,770,8.0,68.1,-67.5,-1.04
ATP_CHALL_leader_50-54,5,B,True,901,59,72,50,22,770,8.0,69.4,-70.7,-1.09
ATP_CHALL_leader_50-54,7,A,True,901,65,64,43,21,772,7.1,67.2,-66.0,-0.90
ATP_CHALL_leader_50-54,7,B,True,901,65,64,44,20,772,7.1,68.8,-74.1,-1.01
ATP_CHALL_leader_50-54,10,A,True,900,69,59,38,21,772,6.6,64.4,-78.6,-0.99
ATP_CHALL_leader_50-54,10,B,True,900,69,59,39,20,772,6.6,66.1,-94.4,-1.19
ATP_CHALL_leader_50-54,15,A,True,895,75,47,27,20,773,5.3,57.4,-122.9,-1.24
ATP_CHALL_leader_50-54,15,B,True,895,75,47,28,19,773,5.3,59.6,-145.9,-1.47
ATP_CHALL_leader_50-54,20,A,True,894,84,35,17,18,775,3.9,48.6,-188.4,-1.42
ATP_CHALL_leader_50-54,20,B,True,894,84,35,19,16,775,3.9,54.3,-185.7,-1.40
ATP_CHALL_leader_50-54,25,A,True,894,89,30,12,18,775,3.4,40.0,-249.0,-1.61
ATP_CHALL_leader_50-54,25,B,True,894,89,30,13,17,775,3.4,43.3,-270.7,-1.75
ATP_CHALL_leader_55-59,3,A,True,1048,43,152,87,65,853,14.5,57.2,-170.9,-4.35
ATP_CHALL_leader_55-59,3,B,True,1048,43,152,88,64,853,14.5,57.9,-172.2,-4.38
ATP_CHALL_leader_55-59,5,A,True,1048,49,138,81,57,861,13.2,58.7,-144.2,-3.33
ATP_CHALL_leader_55-59,5,B,True,1048,49,138,82,56,861,13.2,59.4,-150.9,-3.49
ATP_CHALL_leader_55-59,7,A,True,1048,56,128,74,54,864,12.2,57.8,-144.6,-3.10
ATP_CHALL_leader_55-59,7,B,True,1048,56,128,75,53,864,12.2,58.6,-156.4,-3.35
ATP_CHALL_leader_55-59,10,A,True,1048,70,111,60,51,867,10.6,54.1,-171.2,-3.18
ATP_CHALL_leader_55-59,10,B,True,1048,70,111,63,48,867,10.6,56.8,-169.1,-3.14
ATP_CHALL_leader_55-59,15,A,True,1048,85,92,45,47,871,8.8,48.9,-204.8,-3.15
ATP_CHALL_leader_55-59,15,B,True,1048,85,92,49,43,871,8.8,53.3,-195.7,-3.01
ATP_CHALL_leader_55-59,20,A,True,1048,90,86,40,46,872,8.2,46.5,-207.3,-2.98
ATP_CHALL_leader_55-59,20,B,True,1048,90,86,44,42,872,8.2,51.2,-205.6,-2.96
ATP_CHALL_leader_55-59,25,A,True,1045,95,78,32,46,872,7.5,41.0,-244.6,-3.20
ATP_CHALL_leader_55-59,25,B,True,1045,95,78,36,42,872,7.5,46.2,-244.0,-3.20
ATP_CHALL_leader_60-64,3,A,False,913,124,87,64,23,702,9.5,73.6,-161.4,-2.48
ATP_CHALL_leader_60-64,3,B,False,913,124,87,64,23,702,9.5,73.6,-172.4,-2.65
ATP_CHALL_leader_60-64,5,A,False,913,131,66,57,9,716,7.2,86.4,-23.9,-0.28
ATP_CHALL_leader_60-64,5,B,False,913,131,66,57,9,716,7.2,86.4,-45.5,-0.53
ATP_CHALL_leader_60-64,7,A,False,913,134,62,54,8,717,6.8,87.1,-6.9,-0.08
ATP_CHALL_leader_60-64,7,B,False,913,134,62,54,8,717,6.8,87.1,-37.3,-0.41
ATP_CHALL_leader_60-64,10,A,False,913,151,42,37,5,720,4.6,88.1,18.2,0.14
ATP_CHALL_leader_60-64,10,B,False,913,151,42,37,5,720,4.6,88.1,-25.8,-0.19
ATP_CHALL_leader_60-64,15,A,False,913,164,28,24,4,721,3.1,85.7,18.8,0.09
ATP_CHALL_leader_60-64,15,B,False,913,164,28,24,4,721,3.1,85.7,-45.5,-0.23
ATP_CHALL_leader_60-64,20,A,False,913,171,21,17,4,721,2.3,81.0,-5.0,-0.02
ATP_CHALL_leader_60-64,20,B,False,913,171,21,17,4,721,2.3,81.0,-86.0,-0.32
ATP_CHALL_leader_60-64,25,A,False,904,170,13,9,4,721,1.4,69.2,-100.0,-0.23
ATP_CHALL_leader_60-64,25,B,False,904,170,13,9,4,721,1.4,69.2,-186.5,-0.43
ATP_CHALL_leader_65-69,3,A,True,980,15,127,69,58,838,13.0,54.3,-196.1,-3.79
ATP_CHALL_leader_65-69,3,B,True,980,15,127,80,47,838,13.0,63.0,-77.5,-1.50
ATP_CHALL_leader_65-69,5,A,True,980,22,113,62,51,845,11.5,54.9,-179.0,-3.08
ATP_CHALL_leader_65-69,5,B,True,980,22,113,74,39,845,11.5,65.5,-38.6,-0.66
ATP_CHALL_leader_65-69,7,A,True,980,23,110,61,49,847,11.2,55.5,-160.3,-2.69
ATP_CHALL_leader_65-69,7,B,True,980,23,110,72,38,847,11.2,65.5,-35.6,-0.60
ATP_CHALL_leader_65-69,10,A,True,980,30,96,54,42,854,9.8,56.2,-133.6,-1.95
ATP_CHALL_leader_65-69,10,B,True,980,30,96,63,33,854,9.8,65.6,-28.4,-0.42
ATP_CHALL_leader_65-69,15,A,True,980,38,86,46,40,856,8.8,53.5,-148.6,-1.95
ATP_CHALL_leader_65-69,15,B,True,980,38,86,54,32,856,8.8,62.8,-59.0,-0.77
ATP_CHALL_leader_65-69,20,A,True,980,45,77,39,38,858,7.9,50.6,-165.5,-1.94
ATP_CHALL_leader_65-69,20,B,True,980,45,77,47,30,858,7.9,61.0,-73.8,-0.87
ATP_CHALL_leader_65-69,25,A,True,980,52,69,32,37,859,7.0,46.4,-202.0,-2.12
ATP_CHALL_leader_65-69,25,B,True,980,52,69,39,30,859,7.0,56.5,-123.7,-1.30
ATP_CHALL_leader_70-74,3,A,True,754,20,95,57,38,639,12.6,60.0,-185.5,-3.25
ATP_CHALL_leader_70-74,3,B,True,754,20,95,62,33,639,12.6,65.3,-117.8,-2.06
ATP_CHALL_leader_70-74,5,A,True,754,22,91,55,36,641,12.1,60.4,-169.2,-2.84
ATP_CHALL_leader_70-74,5,B,True,754,22,91,61,30,641,12.1,67.0,-88.7,-1.49
ATP_CHALL_leader_70-74,7,A,True,754,26,83,51,32,645,11.0,61.4,-144.3,-2.21
ATP_CHALL_leader_70-74,7,B,True,754,26,83,57,26,645,11.0,68.7,-61.7,-0.94
ATP_CHALL_leader_70-74,10,A,True,754,34,74,43,31,646,9.8,58.1,-176.8,-2.41
ATP_CHALL_leader_70-74,10,B,True,754,34,74,48,26,646,9.8,64.9,-109.5,-1.49
ATP_CHALL_leader_70-74,15,A,True,754,39,64,38,26,651,8.5,59.4,-134.1,-1.58
ATP_CHALL_leader_70-74,15,B,True,754,39,64,41,23,651,8.5,64.1,-113.0,-1.33
ATP_CHALL_leader_70-74,20,A,True,754,48,54,29,25,652,7.2,53.7,-190.6,-1.90
ATP_CHALL_leader_70-74,20,B,True,754,48,54,32,22,652,7.2,59.3,-167.9,-1.67
ATP_CHALL_leader_70-74,25,A,True,754,56,46,21,25,652,6.1,45.7,-281.3,-2.38
ATP_CHALL_leader_70-74,25,B,True,754,56,46,23,23,652,6.1,50.0,-279.2,-2.37
ATP_CHALL_leader_75-79,3,A,True,544,37,69,54,15,438,12.7,78.3,-111.3,-1.83
ATP_CHALL_leader_75-79,3,B,True,544,37,69,56,13,438,12.7,81.2,-86.7,-1.43
ATP_CHALL_leader_75-79,5,A,True,544,44,61,47,14,439,11.2,77.0,-116.4,-1.69
ATP_CHALL_leader_75-79,5,B,True,544,44,61,48,13,439,11.2,78.7,-115.2,-1.68
ATP_CHALL_leader_75-79,7,A,True,544,51,53,40,13,440,9.7,75.5,-127.7,-1.62
ATP_CHALL_leader_75-79,7,B,True,544,51,53,41,12,440,9.7,77.4,-130.8,-1.65
ATP_CHALL_leader_75-79,10,A,True,544,57,46,34,12,441,8.5,73.9,-132.9,-1.46
