ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 01:14:04 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,120,50.0
2026-04-18 01:14:12 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,123,50.0
2026-04-18 01:14:15 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,84,98,123,50.0
2026-04-18 01:15:54 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,910,94,15,95,25,96,543,97,84,98,123,50.0
2026-04-18 01:16:39 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,910,94,365,95,25,96,543,97,84,98,123,50.0
2026-04-18 01:33:41 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,910,94,365,95,25,96,543,97,84,98,245,50.0
2026-04-18 02:00:07 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,216,5,194,4,823,3,540,2,910,94,365,95,25,96,543,97,84,98,245,50.0
2026-04-18 02:00:07 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,216,5,194,4,823,3,540,2,910,94,865,95,25,96,543,97,84,98,245,50.0
2026-04-18 02:00:19 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,910,94,865,95,25,96,543,97,84,98,245,50.0
2026-04-18 02:00:19 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,910,94,365,95,25,96,543,97,84,98,245,50.0
2026-04-18 02:11:22 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,900,94,365,95,25,96,543,97,84,98,245,50.0
2026-04-18 02:11:22 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,207,4,823,3,540,2,900,94,365,95,25,96,543,97,84,98,245,50.0
2026-04-18 02:11:23 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,207,4,832,3,540,2,900,94,365,95,25,96,543,97,84,98,245,50.0
2026-04-18 02:11:23 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,207,4,832,3,540,2,900,94,365,95,38,96,543,97,84,98,245,50.0
2026-04-18 02:12:56 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,207,4,832,3,540,2,900,94,365,95,38,96,552,97,84,98,245,50.0
2026-04-18 02:15:53 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,207,4,832,3,540,2,900,93,10,94,365,95,38,96,552,97,84,49.5
2026-04-18 02:15:53 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,832,3,540,2,900,93,10,94,365,95,38,96,552,97,84,49.5
2026-04-18 02:15:53 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,900,93,10,94,365,95,38,96,552,97,84,49.5
2026-04-18 02:15:53 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,900,93,10,94,365,95,38,96,543,97,84,49.5
2026-04-18 02:15:53 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,116,5,194,4,823,3,540,93,10,94,365,95,38,96,543,97,84,50.0
2026-04-18 02:15:54 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,116,5,194,4,823,3,540,93,10,94,365,95,25,96,543,97,84,50.0
2026-04-18 02:15:54 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,116,5,194,4,823,3,540,2,900,93,10,94,365,95,25,96,543,97,84,49.5
2026-04-18 02:15:54 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,194,4,823,3,540,2,900,93,10,94,365,95,25,96,543,97,84,49.5
2026-04-18 02:15:54 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,10,94,365,95,25,96,543,97,84,49.5
2026-04-18 02:15:54 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,10,94,378,95,25,96,543,97,84,49.5
2026-04-18 02:15:54 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,10,94,378,95,34,96,543,97,84,49.5
2026-04-18 02:15:55 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,203,4,823,3,540,93,10,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:55 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,203,4,823,3,540,93,14,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:55 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,194,4,823,3,540,93,14,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:55 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,194,4,823,3,540,93,14,94,378,95,25,96,543,97,84,50.0
2026-04-18 02:15:55 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,194,4,823,3,540,2,900,93,14,94,378,95,25,96,543,97,84,49.5
2026-04-18 02:15:55 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,194,4,823,3,540,2,900,93,10,94,378,95,25,96,543,97,84,49.5
2026-04-18 02:15:55 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,10,94,378,95,25,96,543,97,84,49.5
2026-04-18 02:15:55 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,10,94,378,95,34,96,543,97,84,49.5
2026-04-18 02:15:56 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,203,4,823,3,540,93,10,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:56 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,203,4,823,3,540,93,14,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:56 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,194,4,823,3,540,93,14,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:56 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,194,4,823,3,540,93,14,94,378,95,25,96,543,97,84,50.0
2026-04-18 02:15:56 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,203,4,823,3,540,93,14,94,378,95,25,96,543,97,84,50.0
2026-04-18 02:15:56 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,203,4,823,3,540,93,14,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:56 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,14,94,378,95,34,96,543,97,84,49.5
2026-04-18 02:15:56 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,10,94,378,95,34,96,543,97,84,49.5
2026-04-18 02:15:57 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,203,4,823,3,540,93,10,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:57 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,194,4,823,3,540,93,10,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:57 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,194,4,823,3,540,93,14,94,378,95,34,96,543,97,84,50.0
2026-04-18 02:15:57 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,7,4,6,129,5,194,4,823,3,540,93,14,94,378,95,25,96,543,97,84,50.0
2026-04-18 02:15:57 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,194,4,823,3,540,2,900,93,14,94,378,95,25,96,543,97,84,49.5
2026-04-18 02:15:57 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,14,94,378,95,25,96,543,97,84,49.5
2026-04-18 02:15:57 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,10,94,378,95,25,96,543,97,84,49.5
2026-04-18 02:15:57 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,203,4,823,3,540,2,900,93,10,94,378,95,34,96,543,97,84,49.5
2026-04-18 02:15:58 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,194,4,823,3,540,2,900,93,10,94,378,95,34,96,543,97,84,49.5
2026-04-18 02:15:58 PM,KXATPCHALLENGERMATCH-26APR19STALUK-LUK,6,129,5,194,4,823,3,540,2,900,93,10,94,378,95,25,96,543,97,84,49.5
