ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 12:34:00 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,120,50.0
2026-04-18 12:35:29 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,123,50.0
2026-04-18 12:35:30 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,84,98,123,50.0
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,6,116,5,194,4,823,3,540,94,15,95,25,96,543,97,84,98,123,74.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,6,116,5,194,4,823,94,15,95,25,96,543,97,84,98,123,74.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,53,187,6,116,5,194,94,15,95,25,96,543,97,84,98,123,74.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,53,187,49,204,6,116,94,15,95,25,96,543,97,84,98,123,74.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,53,187,49,204,38,263,94,15,95,25,96,543,97,84,98,123,74.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,53,187,49,204,38,263,76,1650,94,15,95,25,96,543,97,84,65.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,53,187,49,204,38,263,76,1650,77,1722,94,15,95,25,96,543,65.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,53,187,49,204,38,263,76,1650,77,1722,78,1800,94,15,95,25,65.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,53,187,49,204,38,263,76,1650,77,1722,78,1800,82,2222,94,15,65.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,53,187,49,204,38,263,76,1650,77,1722,78,1800,82,2222,93,5714,65.5
2026-04-18 12:37:04 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,55,180,54,183,53,187,49,204,38,263,76,1650,77,1722,78,1800,82,4222,93,5714,65.5
2026-04-18 12:38:26 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,60,156,55,180,54,183,53,187,49,204,76,1650,77,1722,78,1800,82,4222,93,5714,68.0
2026-04-18 12:38:26 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,60,156,55,180,54,183,53,187,49,204,70,313,76,1650,77,1722,78,1800,82,4222,65.0
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,60,156,55,180,54,183,53,187,49,204,68,148,70,313,76,1650,77,1722,78,1800,64.0
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,60,156,55,180,54,183,53,187,68,148,70,313,76,1650,77,1722,78,1800,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,60,156,55,180,54,183,53,187,68,148,69,157,70,313,76,1650,77,1722,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,60,156,55,180,53,187,49,204,68,148,69,157,70,313,76,1650,77,1722,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,60,156,53,187,49,204,38,263,68,148,69,157,70,313,76,1650,77,1722,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,60,156,49,204,38,263,27,370,68,148,69,157,70,313,76,1650,77,1722,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,60,156,49,204,38,263,27,370,68,148,69,157,70,313,76,1650,78,1800,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,60,156,49,204,38,263,27,370,68,148,69,157,70,313,76,1650,82,4222,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,60,156,49,204,38,263,27,370,68,148,69,157,70,313,82,4222,84,1,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,61,162,60,156,49,204,38,263,68,148,69,157,70,313,82,4222,84,1,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,61,162,60,321,49,204,38,263,68,148,69,157,70,313,82,4222,84,1,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,61,162,60,321,59,168,49,204,68,148,69,157,70,313,82,4222,84,1,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,61,162,60,321,59,168,49,204,68,148,69,1434,70,313,82,4222,84,1,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,61,162,60,321,59,168,49,204,68,148,69,1434,70,1124,82,4222,84,1,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,61,162,60,321,59,168,49,204,68,148,69,1434,70,1124,71,455,82,4222,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,61,162,60,321,59,168,49,204,68,148,69,1434,70,1124,71,455,82,2222,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,61,162,60,321,59,168,49,204,68,148,69,1434,70,1124,71,455,75,2000,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,62,193,61,162,60,321,59,168,68,148,69,1434,70,1124,71,455,75,2000,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,129,62,193,61,162,60,321,59,168,68,148,69,1533,70,1124,71,455,75,2000,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,216,62,193,61,162,60,321,59,168,68,148,69,1533,70,1124,71,455,75,2000,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,216,62,311,61,162,60,321,59,168,68,148,69,1533,70,1124,71,455,75,2000,65.5
2026-04-18 12:44:54 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,216,62,311,61,162,60,321,59,168,68,242,69,1533,70,1124,71,455,75,2000,65.5
2026-04-18 12:45:24 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,216,62,311,61,151,60,321,59,168,68,242,69,1533,70,1124,71,455,75,2000,65.5
2026-04-18 12:45:24 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,216,62,311,61,151,60,321,49,204,68,242,69,1533,70,1124,71,455,75,2000,65.5
2026-04-18 12:45:24 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,216,62,311,61,151,60,156,49,204,68,242,69,1533,70,1124,71,455,75,2000,65.5
2026-04-18 12:45:24 PM,KXATPCHALLENGERMATCH-26APR19ZHUIMA-ZHU,63,216,62,311,61,151,60,156,49,204,68,242,69,1533,70,1124,75,2000,82,2222,65.5
