ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid,bid_depth_5,ask_depth_5,depth_ratio
2026-04-18 04:12:30 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,4,500,1,1827,,,,,,,96,500,97,10,99,1827,,,,,50.0,2327,2337,0.499
2026-04-18 04:12:41 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,500,1,1827,,,,,96,500,97,10,99,1827,,,,,50.5,2334,2337,0.500
2026-04-18 04:12:41 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,500,1,1827,,,,,95,7,96,500,97,10,99,1827,,,50.0,2334,2344,0.499
2026-04-18 04:13:45 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,500,1,3327,,,,,95,7,96,500,97,10,99,1827,,,50.0,3834,2344,0.621
2026-04-18 04:13:46 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,500,1,3327,,,,,95,7,96,500,97,10,99,2027,,,50.0,3834,2544,0.601
2026-04-18 04:13:46 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,500,2,900,1,3327,,,95,7,96,500,97,10,99,2027,,,50.0,4734,2544,0.650
2026-04-18 04:13:46 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,500,2,900,1,3327,,,95,7,96,500,97,10,98,120,99,2027,50.0,4734,2664,0.640
2026-04-18 04:13:46 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,500,3,540,2,900,1,3327,95,7,96,500,97,10,98,120,99,2027,50.0,5274,2664,0.664
2026-04-18 04:13:46 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,500,3,540,2,900,1,3327,95,7,96,500,97,82,98,120,99,2027,50.0,5274,2736,0.658
2026-04-18 04:13:47 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,823,3,540,2,900,1,3327,95,7,96,500,97,82,98,120,99,2027,50.0,5597,2736,0.672
2026-04-18 04:13:47 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,7,4,823,3,540,2,900,1,3327,95,7,96,543,97,82,98,120,99,2027,50.0,5597,2779,0.668
2026-04-18 04:13:47 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,201,4,823,3,540,2,900,1,3327,95,7,96,543,97,82,98,120,99,2027,50.0,5791,2779,0.676
2026-04-18 04:13:47 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,5,201,4,823,3,540,2,900,1,3327,95,32,96,543,97,82,98,120,99,2027,50.0,5791,2804,0.674
2026-04-18 04:13:47 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,6,116,5,201,4,823,3,540,2,900,95,32,96,543,97,82,98,120,99,2027,50.5,2580,2804,0.479
2026-04-18 04:13:47 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,6,116,5,201,4,823,3,540,2,900,94,15,95,32,96,543,97,82,98,120,50.0,2580,792,0.765
2026-04-18 04:14:58 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,6,116,5,201,4,823,3,540,2,900,94,15,95,32,96,543,97,82,98,123,50.0,2580,795,0.764
2026-04-18 04:14:59 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,6,116,5,201,4,823,3,540,2,900,94,15,95,32,96,543,97,84,98,123,50.0,2580,797,0.764
2026-04-18 04:19:19 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,6,116,5,194,4,823,3,540,2,900,94,15,95,32,96,543,97,84,98,123,50.0,2573,797,0.764
2026-04-18 04:19:19 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,84,98,123,50.0,2573,790,0.765
2026-04-18 04:20:29 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,6,116,5,194,4,823,3,540,2,900,94,365,95,25,96,543,97,84,98,123,50.0,2573,1140,0.693
2026-04-18 04:21:14 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,7,1,6,116,5,194,4,823,3,540,94,365,95,25,96,543,97,84,98,123,50.5,1674,1140,0.595
2026-04-18 04:21:14 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,7,1,6,116,5,194,4,823,3,540,93,1,94,365,95,25,96,543,97,84,50.0,1674,1018,0.622
2026-04-18 04:29:56 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,23,800,7,1,6,116,5,194,4,823,93,1,94,365,95,25,96,543,97,84,58.0,1934,1018,0.655
2026-04-18 04:29:56 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,24,800,23,800,7,1,6,116,5,194,93,1,94,365,95,25,96,543,97,84,58.5,1911,1018,0.652
2026-04-18 04:29:56 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,26,800,24,800,23,800,7,1,6,116,93,1,94,365,95,25,96,543,97,84,59.5,2517,1018,0.712
2026-04-18 04:29:56 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,26,800,24,800,23,800,7,1,6,116,49,800,93,1,94,365,95,25,96,543,37.5,2517,1734,0.592
2026-04-18 04:29:56 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,26,800,24,800,23,800,7,1,6,116,49,800,52,800,93,1,94,365,95,25,37.5,2517,1991,0.558
2026-04-18 04:29:56 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,26,800,24,800,23,800,7,1,6,116,49,800,51,800,52,800,93,1,94,365,37.5,2517,2766,0.476
2026-04-18 04:30:30 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,26,800,24,800,23,800,7,1,6,116,49,800,51,800,52,800,74,1,93,1,37.5,2517,2402,0.512
2026-04-18 04:30:30 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,26,800,24,800,23,800,7,1,6,116,49,800,51,800,52,800,74,1,89,1,37.5,2517,2402,0.512
2026-04-18 04:30:30 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,26,800,24,800,23,800,7,1,6,116,49,800,51,800,52,800,74,1,84,1,37.5,2517,2402,0.512
2026-04-18 04:31:05 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,37,27,26,800,24,800,23,800,7,1,49,800,51,800,52,800,74,1,84,1,43.0,2428,2402,0.503
2026-04-18 04:33:44 PM,KXATPCHALLENGERMATCH-26APR19SORGUE-SOR,37,27,32,500,26,800,24,800,23,800,49,800,51,800,52,800,74,1,84,1,43.0,2927,2402,0.549
