ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid,bid_depth_5,ask_depth_5,depth_ratio
2026-04-18 04:42:35 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,1,1327,,,,,,,,,97,10,99,1327,,,,,,,49.0,1327,1337,0.498
2026-04-18 04:42:51 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,1,1327,,,,,,,,,97,10,99,1827,,,,,,,49.0,1327,1837,0.419
2026-04-18 04:42:51 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,1,1827,,,,,,,,,97,10,99,1827,,,,,,,49.0,1827,1837,0.499
2026-04-18 04:42:53 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,1,1827,,,,,,,,,96,500,97,10,99,1827,,,,,48.5,1827,2337,0.439
2026-04-18 04:42:53 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,4,500,1,1827,,,,,,,96,500,97,10,99,1827,,,,,50.0,2327,2337,0.499
2026-04-18 04:43:05 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,4,500,1,3327,,,,,,,96,500,97,10,99,1827,,,,,50.0,3827,2337,0.621
2026-04-18 04:43:05 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,4,500,1,3327,,,,,,,96,500,97,10,99,2027,,,,,50.0,3827,2537,0.601
2026-04-18 04:43:05 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,4,500,2,900,1,3327,,,,,96,500,97,10,99,2027,,,,,50.0,4727,2537,0.651
2026-04-18 04:43:05 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,4,500,2,900,1,3327,,,,,96,500,97,10,98,120,99,2027,,,50.0,4727,2657,0.640
2026-04-18 04:43:05 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,4,500,3,540,2,900,1,3327,,,96,500,97,10,98,120,99,2027,,,50.0,5267,2657,0.665
2026-04-18 04:43:06 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,4,500,3,540,2,900,1,3327,,,96,500,97,82,98,120,99,2027,,,50.0,5267,2729,0.659
2026-04-18 04:43:06 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,4,823,3,540,2,900,1,3327,,,96,500,97,82,98,120,99,2027,,,50.0,5590,2729,0.672
2026-04-18 04:43:06 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,4,823,3,540,2,900,1,3327,,,96,543,97,82,98,120,99,2027,,,50.0,5590,2772,0.669
2026-04-18 04:43:06 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,5,194,4,823,3,540,2,900,1,3327,96,543,97,82,98,120,99,2027,,,50.5,5784,2772,0.676
2026-04-18 04:43:06 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,5,194,4,823,3,540,2,900,1,3327,95,25,96,543,97,82,98,120,99,2027,50.0,5784,2797,0.674
2026-04-18 04:43:07 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,6,116,5,194,4,823,3,540,2,900,95,25,96,543,97,82,98,120,99,2027,50.5,2573,2797,0.479
2026-04-18 04:43:07 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,6,116,5,194,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,120,50.0,2573,785,0.766
2026-04-18 04:43:09 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,6,116,5,196,4,823,3,540,2,900,94,15,95,25,96,543,97,82,98,120,50.0,2575,785,0.766
2026-04-18 04:43:09 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,6,116,5,196,4,823,3,540,2,900,94,15,95,27,96,543,97,82,98,120,50.0,2575,787,0.766
2026-04-18 04:43:43 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,6,116,5,196,4,823,3,540,2,900,94,365,95,27,96,543,97,82,98,120,50.0,2575,1137,0.694
2026-04-18 04:45:27 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,6,116,5,196,4,823,3,540,2,900,94,365,95,27,96,543,97,82,98,123,50.0,2575,1140,0.693
2026-04-18 04:45:31 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,6,116,5,196,4,823,3,540,2,900,94,365,95,27,96,543,97,84,98,123,50.0,2575,1142,0.693
2026-04-18 04:47:36 PM,KXATPCHALLENGERMATCH-26APR19SHIOST-OST,6,116,5,196,4,823,3,540,2,900,94,365,95,27,96,543,97,84,98,123,50.0,2575,1142,0.693
