ts_offset_sec,bid,ask,mid
0,73,74,73.5
0,73,74,73.5
0,73,74,73.5
0,73,74,73.5
0,73,74,73.5
0,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
3,73,74,73.5
3,73,74,73.5
3,73,74,73.5
3,73,74,73.5
3,73,74,73.5
3,73,74,73.5
3,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
5,73,74,73.5
5,73,74,73.5
6,73,74,73.5
6,73,74,73.5
6,73,74,73.5
6,73,74,73.5
6,73,74,73.5
6,73,74,73.5
6,73,74,73.5
6,73,74,73.5
7,73,74,73.5
7,73,74,73.5
7,73,74,73.5
7,73,74,73.5
8,73,74,73.5
8,73,74,73.5
8,73,74,73.5
8,73,74,73.5
8,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
10,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
11,73,74,73.5
12,73,74,73.5
12,73,74,73.5
12,73,74,73.5
12,73,74,73.5
12,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
15,73,74,73.5
16,73,74,73.5
16,73,74,73.5
16,73,74,73.5
16,73,74,73.5
16,73,74,73.5
16,73,74,73.5
16,73,74,73.5
16,73,74,73.5
17,73,74,73.5
17,73,74,73.5
17,73,74,73.5
17,73,74,73.5
17,73,74,73.5
17,73,74,73.5
17,73,74,73.5
17,73,74,73.5
18,73,74,73.5
18,73,74,73.5
18,73,74,73.5
18,73,74,73.5
18,73,74,73.5
18,73,74,73.5
18,73,74,73.5
18,73,74,73.5
18,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
19,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
23,73,74,73.5
23,73,74,73.5
23,73,74,73.5
23,73,74,73.5
23,73,74,73.5
23,73,74,73.5
23,73,74,73.5
23,73,74,73.5
23,73,74,73.5
